 Year,Month,Day,Time(hhmmss.mm)UTC,Latitude,Longitude,Magnitude,Depth
  2011,01,01,000000.00,-45.000,-115.000,1.0, 33
  2011,01,01,010000.00,-45.000,-115.000,1.0, 33
  2011,01,01,020000.00,-45.000,-115.000,1.0, 33
  2011,01,01,030000.00,-45.000,-115.000,1.0, 33
  2011,01,01,040000.00,-45.000,-115.000,1.0, 33
  2011,01,01,050000.00,-45.000,-115.000,1.0, 33
  2011,01,01,060000.00,-45.000,-115.000,1.0, 33
  2011,01,01,070000.00,-45.000,-115.000,1.0, 33
  2011,01,01,080000.00,-45.000,-115.000,1.0, 33
  2011,01,01,090000.00,-45.000,-115.000,1.0, 33
  2011,01,01,100000.00,-45.000,-115.000,1.0, 33
  2011,01,01,110000.00,-45.000,-115.000,1.0, 33
  2011,01,01,120000.00,-45.000,-115.000,1.0, 33
  2011,01,01,130000.00,-45.000,-115.000,1.0, 33
  2011,01,01,140000.00,-45.000,-115.000,1.0, 33
  2011,01,01,150000.00,-45.000,-115.000,1.0, 33
  2011,01,01,160000.00,-45.000,-115.000,1.0, 33
  2011,01,01,170000.00,-45.000,-115.000,1.0, 33
  2011,01,01,180000.00,-45.000,-115.000,1.0, 33
  2011,01,01,190000.00,-45.000,-115.000,1.0, 33
  2011,01,01,200000.00,-45.000,-115.000,1.0, 33
  2011,01,01,210000.00,-45.000,-115.000,1.0, 33
  2011,01,01,220000.00,-45.000,-115.000,1.0, 33
  2011,01,01,230000.00,-45.000,-115.000,1.0, 33
  2011,01,02,000000.00,-45.000,-115.000,1.0, 33
  2011,01,02,010000.00,-45.000,-115.000,1.0, 33
  2011,01,02,020000.00,-45.000,-115.000,1.0, 33
  2011,01,02,030000.00,-45.000,-115.000,1.0, 33
  2011,01,02,040000.00,-45.000,-115.000,1.0, 33
  2011,01,02,050000.00,-45.000,-115.000,1.0, 33
  2011,01,02,060000.00,-45.000,-115.000,1.0, 33
  2011,01,02,070000.00,-45.000,-115.000,1.0, 33
  2011,01,02,080000.00,-45.000,-115.000,1.0, 33
  2011,01,02,090000.00,-45.000,-115.000,1.0, 33
  2011,01,02,100000.00,-45.000,-115.000,1.0, 33
  2011,01,02,110000.00,-45.000,-115.000,1.0, 33
  2011,01,02,120000.00,-45.000,-115.000,1.0, 33
  2011,01,02,130000.00,-45.000,-115.000,1.0, 33
  2011,01,02,140000.00,-45.000,-115.000,1.0, 33
  2011,01,02,150000.00,-45.000,-115.000,1.0, 33
  2011,01,02,160000.00,-45.000,-115.000,1.0, 33
  2011,01,02,170000.00,-45.000,-115.000,1.0, 33
  2011,01,02,180000.00,-45.000,-115.000,1.0, 33
  2011,01,02,190000.00,-45.000,-115.000,1.0, 33
  2011,01,02,200000.00,-45.000,-115.000,1.0, 33
  2011,01,02,210000.00,-45.000,-115.000,1.0, 33
  2011,01,02,220000.00,-45.000,-115.000,1.0, 33
  2011,01,02,230000.00,-45.000,-115.000,1.0, 33
  2011,01,03,000000.00,-45.000,-115.000,1.0, 33
  2011,01,03,010000.00,-45.000,-115.000,1.0, 33
  2011,01,03,020000.00,-45.000,-115.000,1.0, 33
  2011,01,03,030000.00,-45.000,-115.000,1.0, 33
  2011,01,03,040000.00,-45.000,-115.000,1.0, 33
  2011,01,03,050000.00,-45.000,-115.000,1.0, 33
  2011,01,03,060000.00,-45.000,-115.000,1.0, 33
  2011,01,03,070000.00,-45.000,-115.000,1.0, 33
  2011,01,03,080000.00,-45.000,-115.000,1.0, 33
  2011,01,03,090000.00,-45.000,-115.000,1.0, 33
  2011,01,03,100000.00,-45.000,-115.000,1.0, 33
  2011,01,03,110000.00,-45.000,-115.000,1.0, 33
  2011,01,03,120000.00,-45.000,-115.000,1.0, 33
  2011,01,03,130000.00,-45.000,-115.000,1.0, 33
  2011,01,03,140000.00,-45.000,-115.000,1.0, 33
  2011,01,03,150000.00,-45.000,-115.000,1.0, 33
  2011,01,03,160000.00,-45.000,-115.000,1.0, 33
  2011,01,03,170000.00,-45.000,-115.000,1.0, 33
  2011,01,03,180000.00,-45.000,-115.000,1.0, 33
  2011,01,03,190000.00,-45.000,-115.000,1.0, 33
  2011,01,03,200000.00,-45.000,-115.000,1.0, 33
  2011,01,03,210000.00,-45.000,-115.000,1.0, 33
  2011,01,03,220000.00,-45.000,-115.000,1.0, 33
  2011,01,03,230000.00,-45.000,-115.000,1.0, 33
  2011,01,04,000000.00,-45.000,-115.000,1.0, 33
  2011,01,04,010000.00,-45.000,-115.000,1.0, 33
  2011,01,04,020000.00,-45.000,-115.000,1.0, 33
  2011,01,04,030000.00,-45.000,-115.000,1.0, 33
  2011,01,04,040000.00,-45.000,-115.000,1.0, 33
  2011,01,04,050000.00,-45.000,-115.000,1.0, 33
  2011,01,04,060000.00,-45.000,-115.000,1.0, 33
  2011,01,04,070000.00,-45.000,-115.000,1.0, 33
  2011,01,04,080000.00,-45.000,-115.000,1.0, 33
  2011,01,04,090000.00,-45.000,-115.000,1.0, 33
  2011,01,04,100000.00,-45.000,-115.000,1.0, 33
  2011,01,04,110000.00,-45.000,-115.000,1.0, 33
  2011,01,04,120000.00,-45.000,-115.000,1.0, 33
  2011,01,04,130000.00,-45.000,-115.000,1.0, 33
  2011,01,04,140000.00,-45.000,-115.000,1.0, 33
  2011,01,04,150000.00,-45.000,-115.000,1.0, 33
  2011,01,04,160000.00,-45.000,-115.000,1.0, 33
  2011,01,04,170000.00,-45.000,-115.000,1.0, 33
  2011,01,04,180000.00,-45.000,-115.000,1.0, 33
  2011,01,04,190000.00,-45.000,-115.000,1.0, 33
  2011,01,04,200000.00,-45.000,-115.000,1.0, 33
  2011,01,04,210000.00,-45.000,-115.000,1.0, 33
  2011,01,04,220000.00,-45.000,-115.000,1.0, 33
  2011,01,04,230000.00,-45.000,-115.000,1.0, 33
  2011,01,05,000000.00,-45.000,-115.000,1.0, 33
  2011,01,05,010000.00,-45.000,-115.000,1.0, 33
  2011,01,05,020000.00,-45.000,-115.000,1.0, 33
  2011,01,05,030000.00,-45.000,-115.000,1.0, 33
  2011,01,05,040000.00,-45.000,-115.000,1.0, 33
  2011,01,05,050000.00,-45.000,-115.000,1.0, 33
  2011,01,05,060000.00,-45.000,-115.000,1.0, 33
  2011,01,05,070000.00,-45.000,-115.000,1.0, 33
  2011,01,05,080000.00,-45.000,-115.000,1.0, 33
  2011,01,05,090000.00,-45.000,-115.000,1.0, 33
  2011,01,05,100000.00,-45.000,-115.000,1.0, 33
  2011,01,05,110000.00,-45.000,-115.000,1.0, 33
  2011,01,05,120000.00,-45.000,-115.000,1.0, 33
  2011,01,05,130000.00,-45.000,-115.000,1.0, 33
  2011,01,05,140000.00,-45.000,-115.000,1.0, 33
  2011,01,05,150000.00,-45.000,-115.000,1.0, 33
  2011,01,05,160000.00,-45.000,-115.000,1.0, 33
  2011,01,05,170000.00,-45.000,-115.000,1.0, 33
  2011,01,05,180000.00,-45.000,-115.000,1.0, 33
